date,text,url,title,source_domain,authors,description,language
2025-03-27,"Check out the companies making headlines in midday trading: Auto stocks — Major automobile manufacturers slipped following President Donald Trump's plans to impose a 25% tariff on ""all cars that are not made in the United States,"" effective April 2. Shares of General Motors , Ford Motor and Stellantis respectively fell 7%, 4% and 1%. GameStop — The meme stock tumbled 22% Thursday, following an almost 12% rally the previous session. The reversal came after the video game chain announced plans to raise $1.3 billion through the sale of convertible senior notes due in 2030 to buy bitcoin. Jefferies Financial Group — Shares plunged 10% after Jefferies reported fiscal first-quarter earnings of 57 cents per share on revenue of $1.59 billion. This marked a decline from the 69 cents per share in earnings and revenue of $1.74 billion in the year-ago period. Alibaba — U.S.-listed shares of the Chinese e-commerce stock jumped nearly 3% after Alibaba launched its latest open-source artificial intelligence model. The new model, ""Qwen2.5-Omni-7B,"" is a multimodal and can be used on edge devices, such as mobile phones. Verint Systems — The customer engagement platform provider tumbled 13% after posting weak fourth-quarter results and full-year guidance. Verint said it earned 99 cents per share, excluding items, on revenue of $254 million, missing expectations of analysts polled by LSEG for $1.27 in earnings per share and $277 million in revenue. Advanced Micro Devices — The technology stock slipped 3% after a downgrade at Jefferies to hold from buy, with the firm citing rising competition as a potential looming headwind moving forward. Liberty Energy — The energy stock popped 5% following an upgrade to overweight from equal weight at Morgan Stanley. Analyst Daniel Katz said investors could use Liberty Energy to gain exposure to the data center and power demand growth theme. Petco Health and Wellness — Shares surged 32% after the pet supplies retailer said it expects its full-year adjusted earnings before interest, taxes, depreciation and amortization to come in between $375 million and $390 million, topping FactSet consensus estimates for $371.0 million. Cava — The Mediterranean fast-casual chain added 2%. Cava is set to replace Altair Engineering in the S & P MidCap 400, effective March 31. Winnebago Industries — The motorhome manufacturer popped 8% after reporting fiscal second-quarter adjusted earnings of 19 cents, beating the 13 cents per share expected by analysts polled by FactSet. On the other hand, the company lowered its full-year outlook. Soleno Therapeutics — The biotech company soared 38% after announcing the U.S. Food and Drug Administration's approval of VYKAT XR, which treats hyperphagia in patients 4 years and older with Prader-Willi Syndrome. Hyperphagia is the extreme and overwhelming sense of hunger commonly associated with patients suffering from the genetic disorder. Concentrix — The business tech stock surged 42%. Concentrix posted top- and bottom-line beats in the fiscal first quarter. Concentrix posted adjusted earnings of $2.79 per share on revenue of $2.37 billion, while analysts had expected earnings of $2.58 per share on revenue of $2.36 billion, per FactSet. TD Synnex — Shares plummeted 14% after the IT company reported a fiscal first-quarter earnings and revenue miss. TD Synnex also guided for second-quarter earnings and revenue below analysts' expectations, according to FactSet. Kyndryl — Shares dropped more than 5% after short seller Gotham City Research alleged an issue with IBM costs , among other concerns for the IT infrastructure services provider. Bausch + Lomb — Shares dropped 4% after the eye health company announced a voluntary recall of its intraocular lenses. — CNBC's Brian Evans, Alex Harring, Hakyung Kim, Yun Li and Sarah Min contributed reporting. Get Your Ticket to Pro LIVE Join us at the New York Stock Exchange! Uncertain markets? Gain an edge with CNBC Pro LIVE , an exclusive, inaugural event at the historic New York Stock Exchange. In today's dynamic financial landscape, access to expert insights is paramount. As a CNBC Pro subscriber, we invite you to join us for our first exclusive, in-person CNBC Pro LIVE event at the iconic NYSE on Thursday, June 12. Join interactive Pro clinics led by our Pros Carter Worth, Dan Niles and Dan Ives, with a special edition of Pro Talks with Tom Lee. You'll also get the opportunity to network with CNBC experts, talent and other Pro subscribers during an exciting cocktail hour on the legendary trading floor. Tickets are limited!",https://www.cnbc.com/2025/03/27/stocks-making-the-biggest-moves-midday-gm-woof-gme-baba-cava.html,"Stocks making the biggest moves midday: General Motors, Petco, GameStop, Alibaba, Cava and more",http://www.cnbc.com,,,
2025-03-27,"There are new developments in a CBS News Miami investigation. Last month, CBS News Miami reported on homeowners in a gated Florida City community concerned that a neighboring development project was damaging their land.
CBS News Miami investigated and learned that Miami-Dade County issued the developer a 30-day notice to undo the damage.
Association leadership at Gateway Estates Park Condo said Thursday morning's meeting to resolve the dispute was productive, with a clear plan for removing the spillover construction debris.
""We explained to them exactly what we felt was disturbed in their construction process,"" said Mark Wasser, a homeowner and member of the association's board.
Homeowners report damage from construction project
Last month, CBS News Miami investigated claims that a neighboring construction project dug past the property line to build a retaining wall, damaging Wasser's home and other properties.
""This was all developed,"" said Donald Purnell in February. ""It was all my tropical jungle, what I used to call it. Totally lost if I didn't have your help.""
Purnell, who has owned his home in Florida City for over two decades, showed us the damage he believed the years-long construction project had caused.
""The first time I saw it, it broke my heart,"" Purnell said.
Our investigation found pink stakes labeled ""PL,"" marking the builder's property line. Stones and rubble were also discovered several feet from the retaining wall. Drone footage and visits to neighboring yards revealed similar issues.
County orders developer to restore land
A week after the story aired, Miami-Dade County Regulatory and Economic Resources (RER) sent an inspector to the community on March 6 and issued a field notice of non-compliance to the developer.
The county says Brookfield Kolter Land Partners acknowledged and signed the notice.
CBS News Miami reached out to Kolter Land regarding the findings and alleged damages resulting from the development project.
In response, they wrote, ""We remain committed to working with the county and the neighboring property owners to resolve any issues that may exist.""
The county told us its inspector saw ""construction fill—clean soil and rocks—encroaching into Gateway Estates' property."" Officials confirmed that the permit for the developer ""did not authorize any work beyond the retaining wall.""
RER stated that the notice requires Kolter Land to clean up the construction spillover and restore the land to its original grade and elevation within 30 days.
Plan in place to repair damage
""I asked for, in essence, an architectural plan detailing what their intentions are, from the plants to the fence, in addition to, of course, the sod and cleaning up any construction debris,"" Wasser said.
Wasser said Kolter Land agreed, including cleaning up any damaged trees. CBS News Miami reached out to confirm what Wasser told us but have not yet heard back.
""The focus that you put on this on behalf of our homeowners—I think it was definitely instrumental in getting this to a happy conclusion,"" Wasser said.
Wasser said that finalizing the terms will take a week or so. The hope is to clear all this rubble out, put up a fence, and add plants and grass in the damaged areas.",https://www.cbsnews.com/miami/news/developer-agrees-to-clean-up-florida-city-construction-debris-after-miami-dade-county-order/,Developer agrees to clean up Florida City construction debris after Miami-Dade County order,www.cbsnews.com,Joe Gorchow,CBS News Miami investigated and learned that Miami-Dade County issued the developer a 30-day notice.,en
2025-03-27,"The 28-year-old is eager to get a national team call-up and says the only way to achieve that is to score as many goals as possible.
Article continues below Article continues below Article continues below Article continues below Mabasa overlooked by Broos in recent selections
Hopes to get back to Bafana
Acknowledges presence of stiff competition Follow GOAL on WhatsApp! 🟢📱",https://www.goal.com/en-za/lists/orlando-pirates-striker-tshegofatso-mabasa-reveals-how-he-plans-to-earn-bafana-bafana-s-hugo-broos-trust-perhaps-in-a-span-of-eight-games-score-like-15-goals-and-make-that-decision-easy-that-he-has-to-choose-me/bltca0d6fd86118fb53,"Orlando Pirates striker Tshegofatso Mabasa reveals how he plans to earn Bafana Bafana's Hugo Broos trust - 'Perhaps in a span of eight games, score like 15 goals, and make that decision easy that he h",www.goal.com,Kiplagat Sang,The 28-year-old is eager to get a national team call-up and says the only way to achieve that is to score as many goals as possible.,en
