date,text,url,title,source_domain,authors,description,language
2025-03-22,"A bizarre incident happened during the opening match of the Indian Premier League (IPL) 2025 between defending champions Kolkata Knight Riders (KKR) and Royal Challengers Bengaluru (RCB) at the iconic Eden Gardens on March 22. During the first over of the Bengaluru speedster Josh Hazlewood, the broadcaster mistakenly showed Virat Kohli's name instead of the right-arm pacer. The hilarious incident caught the attention of the social space. Below are some of the reactions. Sourav Ganguly, Jhulan Goswami and ICC Chairman Jay Shah Ring Iconic Bell at Eden Gardens Ahead of KKR vs RCB IPL 2025 Match (See Pic).
Virat Kohli Bowling
Lol
Kkr batting but scorecard showing Kohli. Next level shitty league on display. pic.twitter.com/XCq1R5bXPm — Hirok's Shikkha Montri 🇮🇳 (@iAviOfficial) March 22, 2025
Hilarious!
IPL 2025 SCORECARD GRAPHICS. 📊 But why is Kohli shown as a bowler in the graphics? 🤔😂 #IPL2025#ViratKohlipic.twitter.com/ExA8MiVGlz — ICC Asia Cricket (@ICCAsiaCricket) March 22, 2025
Bizarre Incident
Virat Kohli Winning IPL 18
IPL #18, Kohli jersey #18, Kohli bowling 1st over of 18th IPL. It seems BCCI is going to declare Virat as winner of IPL18.#EeSalaCupNamdeSoon#RCB2025Champions? #IPL2025#ViratKohli𓃵#JioHotstarpic.twitter.com/mu84fr4woW — Nishith kumar Mohanty (@NishithKu) March 22, 2025
Broadcasters Obsessed With Virat Kohli
#JioHotstar #KKRvsRCB #RCBvsKKR #IPL2025 Looks like broadcasters are obsessed with #ViratKohli . Look at the scorecard, Instead of Hazelwood, kohli showing up as who opened the bowling for RCB. 😂 pic.twitter.com/QXp3bEB8pq — Sawan Verma (@sawan28) March 22, 2025
(SocialLY brings you all the latest breaking news, viral trends and information from social media world, including Twitter (X), Instagram and Youtube. The above post is embeded directly from the user's social media account and LatestLY Staff may not have modified or edited the content body. The views and facts appearing in the social media post do not reflect the opinions of LatestLY, also LatestLY does not assume any responsibility or liability for the same.)",https://www.latestly.com/socially/sports/cricket/bizarre-virat-kohli-shown-as-bowler-on-kkr-vs-rcb-ipl-2025-scorecard-during-josh-hazlewoods-over-fans-react-6727900.html,"Bizarre! Virat Kohli Shown as Bowler on KKR vs RCB IPL 2025 Live Score Ticker During Josh Hazlewood's Over, Fans React",www.latestly.com,Team Latestly,"A bizarre incident happened during the opening match of the Indian Premier League 2025 between defending champions Kolkata Knight Riders and Royal Challengers Bengaluru when Virat Kohli's name was shown instead of Josh Hazlewood. 🏏 Bizarre! Virat Kohli Shown as Bowler on KKR vs RCB IPL 2025 Live Score Ticker During Josh Hazlewood's Over, Fans React.",en
2025-03-22,"New details have emerged in the murder case of Merchant Navy officer Saurabh Rajput, revealing that his wife, Muskan Rastogi, travelled to Kasol with her lover, Sahil, after committing the crime. The couple checked into Hotel Purnima on March 10 and stayed for six days in room 203, even celebrating Sahil’s birthday on March 11. According to the hotel operator, Sahil introduced Muskan as his wife when they checked in. “When we asked for ID, Sahil initially claimed Muskan was his wife. At the time of check-in, everything seemed normal, and they provided the required identification. They also had a driver with them, but no one else. They mostly stayed in their room and rarely went outside,” he said. Saurabh Rajput was found murdered under shocking circumstances. Investigators later uncovered that his wife, Muskan Rastogi, was allegedly involved in the crime, conspiring with her lover, Sahil. ‘Never Hide Anything From Your Parents’: Saurabh Rajput Murder Case Accused Muskan Rastogi’s Mother Has Message for All Children (Watch Video).
Muskan Rastogi Stayed in Kasol Hotel With Lover Sahil As His ‘Wife’
Kullu, Himachal Pradesh: In the Merchant navy officer Saurabh Shukla murder case, Muskan Rastogi after killing her husband, traveled to Kasol, Himachal Pradesh, with her lover Sahil. The couple checked into Hotel Purnima on March 10 and stayed for six days in room 203, where… pic.twitter.com/Kdiu8BosZH — IANS (@ians_india) March 22, 2025
(SocialLY brings you all the latest breaking news, viral trends and information from social media world, including Twitter (X), Instagram and Youtube. The above post is embeded directly from the user's social media account and LatestLY Staff may not have modified or edited the content body. The views and facts appearing in the social media post do not reflect the opinions of LatestLY, also LatestLY does not assume any responsibility or liability for the same.)",https://www.latestly.com/socially/india/news/saurabh-rajput-murder-case-muskan-rastogi-stayed-in-kasol-hotel-with-lover-sahil-as-his-wife-after-killing-husband-confirms-hotel-operator-watch-video-6726849.html,"Saurabh Rajput Murder Case: Muskan Rastogi Stayed in Kasol Hotel With Lover Sahil As His ‘Wife’ After Killing Husband, Confirms Hotel Operator (Watch Video)",www.latestly.com,Team Latestly,"Muskan Rastogi stayed in a Kasol hotel with her lover Sahil after murdering her husband, Saurabh Rajput. The hotel operator confirmed Sahil introduced Muskan as his wife during check-in. 📰 Saurabh Rajput Murder Case: Muskan Rastogi Stayed in Kasol Hotel With Lover Sahil As His ‘Wife’ After Killing Husband, Confirms Hotel Operator (Watch Video).",en
2025-03-22,"George Foreman, the two-time heavyweight boxing champion and Olympic gold medalist whose legendary rivalry with Muhammad Ali culminated in the famous ""Rumble in the Jungle"" title bout, died Friday at the age of 76, according to a verified social media account dedicated to Foreman.

Known as one of the most powerful punchers in boxing history, Foreman won Olympic gold in only his 25th amateur fight, devastated one of the all-time greats in Joe Frazier and went on to retain the heavyweight title twice before his now-iconic 1974 fight with Ali in Zaire, which is now known as the Democratic Republic of Congo.

Foreman, a dedicated Christian, became an ordained minister after losing his second professional boxing match in 1977 and retired from the sport. But in 1987, he returned to the ring at the age of 38.

In 1994, Foreman stunned the boxing world when he won the IBF and WBA heavyweight titles by defeating Michael Moorer. It was 20 years after his loss to Ali.

Outside of boxing, Foreman enjoyed major success as an entrepreneur, with his ""George Foreman Lean Mean Fat-Reducing Grilling Machine” product debuting in 1994 and going on to sell more than 100 million units worldwide.

He also launched a clothing line and a short-lived reality TV show starring himself with his wife and 12 children – including five boys named George.",http://cnn.com/2025/03/22/sport/gallery/george-foreman/index.html,George Foreman’s life in pictures,http://cnn.com,,,
