date,text,url,title,source_domain,authors,description,language
2025-03-23,"Noor Ahmad won the Man of the Match award in the Chennai Super Kings vs Mumbai Indians match in IPL 2025 on March 23. The Afghanistan spinner, acquired by Chennai Super Kings for Rs 10 crore at the IPL 2025 auction, made a mark playing his first match for the five-time champions, taking four wickets including two in an over. Noor Ahmad's victims were Mumbai Indians' stand-in captain Suryakumar Yadav (29), Tilak Varma (31), Robin Minz (3) and Naman Dhir (17). He finished with figures of 4/18 in his four overs, which also included 12 dot balls. MS Dhoni Pulls Off Lightning-Fast Stumping To Dismiss Suryakumar Yadav During CSK vs MI IPL 2025 Match (Watch Video).
Noor Ahmad Wins Man of the Match Award in CSK vs MI IPL 2025 Match
Spin to Win 🕸👌 Noor Ahmad is the Player of the Match for his excellent spell of 4/18 on his #CSK debut 🔝 Scorecard ▶ https://t.co/QlMj4G7kV0#TATAIPL | #CSKvMI | @ChennaiIPL pic.twitter.com/gA4fQ6arVT — IndianPremierLeague (@IPL) March 23, 2025
(SocialLY brings you all the latest breaking news, viral trends and information from social media world, including Twitter (X), Instagram and Youtube. The above post is embeded directly from the user's social media account and LatestLY Staff may not have modified or edited the content body. The views and facts appearing in the social media post do not reflect the opinions of LatestLY, also LatestLY does not assume any responsibility or liability for the same.)",https://www.latestly.com/socially/sports/cricket/noor-ahmad-wins-man-of-the-match-award-in-csk-vs-mi-ipl-2025-match-6730241.html,Noor Ahmad Wins Man of the Match Award in CSK vs MI IPL 2025 Match,www.latestly.com,Team Latestly,"The Afghanistan wrist spinner showed why he was such a special cricketer with a memorable performance on his debut for the five-time champions. Noor Ahmad previously played for Gujarat Titans in the IPL. 
🏏 Noor Ahmad Wins Man of the Match Award in CSK vs MI IPL 2025 Match.",en
2025-03-23,"After a magnificent chase in the third T20I, Pakistan were back to their normal routine in NZ vs PAK 4th T20I, losing as many as three wickets for nine runs in their chase of 221. Pakistan's top order, which included stars from NZ vs PAK 3rd T20I, Mohammad Haris, Hasan Nawaz, and Salman managed to score single digits, reducing Pakistan to 9 for 3 in merely 2 overs. This as usual prompted the netizens to share funny memes and jokes on social media, which provided more entertainment for fans than the actual match itself. Check out some of the funny memes below. Hasan Nawaz Scores Fastest T20I Century For Pakistan, Breaks Babar Azam's 49-Ball Hundred Record During NZ vs PAK 3rd T20I 2025.
Ek Din Ki Chandi
Pitch Reverse For Pakistan
When Pakistanis bowling its batting pitch When Pakistan is batting it’s bowling pitch 🤣🤣🤣#NZvPAK — Sukhi log (@AwaisAk04658752) March 23, 2025
Pakistan Returns To True Form
""Pakistan has returned to its true form after just one match.""#NZvPAK pic.twitter.com/dQstOxmnGg — abdullah malik (@abdullah82181) March 23, 2025
Lumber 1 For A Reason
Lumber no 1 team for a reason 😂😂#NZvPAK — Umedh Pasha (@UmedhPasha) March 23, 2025
One Match Win, Another Match Learn
9-3 last match itna mazy ka jeetna ka bad itna bura haryga ab ya log #NZvPAK — Ahsan Shah 🖤 (@parh_ly_ahsu) March 23, 2025
(SocialLY brings you all the latest breaking news, viral trends and information from social media world, including Twitter (X), Instagram and Youtube. The above post is embeded directly from the user's social media account and LatestLY Staff may not have modified or edited the content body. The views and facts appearing in the social media post do not reflect the opinions of LatestLY, also LatestLY does not assume any responsibility or liability for the same.)",https://www.latestly.com/socially/sports/cricket/pakistan-funny-memes-and-jokes-go-viral-as-visitors-lose-three-wickets-for-just-nine-runs-in-pursuit-of-221during-nz-vs-pak-4th-t20i-2025-6729112.html,Pakistan Funny Memes and Jokes Go Viral As Visitors Lose Three Wickets for Just Nine Runs in Pursuit of 221During NZ vs PAK 4th T20I 2025,www.latestly.com,Team Latestly,"After a magnificent chase in the third T20I, Pakistan were back to their normal routine in NZ vs PAK 4th T20I, losing as many as three wickets for nine runs in their chase of 221. Check out some of the funny memes below. 🏏 Pakistan Funny Memes and Jokes Go Viral As Visitors Lose Three Wickets for Just Nine Runs in Pursuit of 221During NZ vs PAK 4th T20I 2025.",en
2025-03-23,"Canadian Prime Minister Mark Carney and opponent kick off their election campaigns

toggle caption Sean Kilpatrick/The Canadian Press via AP

TORONTO — New Canadian Prime Minister Mark Carney and his Conservative opponent kicked off their election campaigns Sunday against the backdrop of a trade war and annexation threats from U.S. President Trump.

Carney announced there will be a five-week election campaign before the vote on April 28.

The governing Liberals had appeared poised for a historic election defeat this year until Trump declared a trade war. Trump has repeatedly said that Canada should become the 51st U.S. state and he acknowledged Friday that he has upended Canadian politics.

Trump's almost daily attacks on Canada's sovereignty have infuriated Canadians and led to a surge in Canadian nationalism that has bolstered Liberal poll numbers.

Sponsor Message

""President Trump claims that Canada isn't a real country. He wants to break us so America can own us. We will not let that happen,"" Carney said.

The governing Liberals had appeared poised for a historic election defeat this year until Justin Trudeau announced his resignation in January and Trump declared a trade war. Carney has said the government in a time of crisis needs a strong and clear mandate.

""The next election will be one of the most consequential in our lifetimes,"" he posted on social media overnight.

The election campaign for 343 seats or districts in the House of Commons will last 37 days. While other parties are running, the Liberals and the Conservatives are the only two that have a chance to form a government. The party that commands a majority in Parliament, either alone or with the support of another party, will form the next government and its leader will be prime minister.

Carney replaced Trudeau, who announced his resignation in January but remained in power until the Liberal Party elected a new leader on March 9 following a leadership race by the governing party.

The opposition Conservatives hoped to make the election about Trudeau, whose popularity declined as food and housing prices rose and immigration surged. But after decades of bilateral stability, the vote is now expected to focus on who is best equipped to deal with Trump.

Trump put 25% tariffs on Canada's steel and aluminum and is threatening sweeping tariffs on all Canadian products — as well as all of America's trading partners — on April 2.

Pierre Poilievre, the leader of the Conservatives, is Carney's main challenger. The party and Poilievre were heading for a huge victory in Canada's federal election this year until Trump's near-daily trade and annexation threats derailed them.

Poilievre said he will stand up to Trump but Alberta Premier Danielle Smith, a conservative ally, said in an interview Poilievre would be ""very much in sync"" with the ""new direction in America.""

Sponsor Message

""I will insist the president recognizes the independence and sovereignty of Canada. I will insist he stops tariffing our nation,"" Poilievre said as he launched his campaign.

Poilievre said he doesn't respect ""the treatment that he has meted out to our country.""

""I know a lot of people are worried, angry and anxious. And with good reason as a result of the president's unacceptable threats against our country,"" he said.

""You are worried about your job and the sovereignty of our nation. And you are angry at the feeling of betrayal that these unacceptable words and tariffs have made us all experience. I share your anger and I share the worry about our future.""

Carney still hasn't had a phone call with Trump and that might not happen now until after the election. Trump mocked Trudeau by calling him governor, but he has not yet mentioned Carney's name.

Carney, 60, was the head of the Bank of Canada during the 2008 financial crisis. In 2013, he became the first noncitizen of the United Kingdom to run the Bank of England — helping to manage the impact of Brexit.

Poilievre, 45, for years the party's go-to attack dog, is a career politician and firebrand populist who says he will put ""Canada first."" He vows to defund Canada's public broadcaster and he won't allow media onboard his campaign buses and planes.",https://www.npr.org/2025/03/23/nx-s1-5338021/canada-mark-carney-election,Canadian Prime Minister Mark Carney and opponent kick off their election campaigns,http://www.npr.org,,,
